url,sector,subsector,organization_name
https://www.rtve.es/noticias,news,newspaper,RTVE Noticias
https://www.bbc.co.uk/news,news,broadcaster,BBC News
https://elpais.com,news,newspaper,El Pais
https://www.lavanguardia.com,news,newspaper,La Vanguardia
https://www.nytimes.com,news,newspaper,New York Times
https://www.deviantart.com,arts_illustration,artist_community,DeviantArt
https://www.artstation.com,arts_illustration,digital_portfolio,ArtStation
https://www.behance.net,arts_illustration,creative_portfolio,Behance
https://dribbble.com,arts_illustration,design_showcase,Dribbble
https://www.pixiv.net,arts_illustration,illustration_community,Pixiv
https://www.uab.cat,education_institution,university,Universitat Autonoma de Barcelona
https://www.upc.edu/ca,education_institution,university,Universitat Politecnica de Catalunya
https://www.mit.edu,education_institution,university,MIT
https://www.stanford.edu,education_institution,university,Stanford University
https://www.ox.ac.uk,education_institution,university,University of Oxford
https://commons.wikimedia.org,open_image_library,public_domain_archive,Wikimedia Commons
https://images.nasa.gov,public_archive,space_media,NASA Image and Video Library
https://www.metmuseum.org/art/collection,museum_collection,open_access,The Met Collection
https://openverse.org,open_image_library,creative_commons_search,Openverse
https://www.si.edu/openaccess,museum_collection,open_access,Smithsonian Open Access
